Issuer Name,Ticker,Issue Date,Cpn,Amount Issued,Maturity,BBG Composite,Maturity Type,Currency,Cntry of Incorp,Green Instrument Indicator
Iliad SA,ILDFP,2021/2/11,0.75,727626000,2024/2/11,#N/A N/A,CALLABLE,EUR,FR,N
Morgan Stanley,MS,2021/2/8,0.497,2108242500,2031/2/7,A,CALLABLE,EUR,US,N
Centene Corp,CNC,2021/2/17,2.5,2200000000,2031/3/1,BB+,CALLABLE,USD,US,N
Future Retail Ltd,FRETAI,2020/1/22,5.6,500000000,2025/1/22,CC-,CALLABLE,USD,IN,N
United States Steel Corp,X,2020/5/29,12,1056357000,2025/6/1,B,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2021/2/17,0.597,1806795000,2033/2/17,A,CALLABLE,EUR,US,N
Orsted AS,ORSTED,2021/2/18,2.5,593453000,3021/2/18,BB+,CALLABLE,GBP,DK,Y
YPF SA,YPFDAR,2014/4/4,8.75,1522165000,2024/4/4,CCC-,SINKABLE,USD,AR,N
Indian Railway Finance Corp Ltd,INRCIN,2021/2/10,2.8,750000000,2031/2/10,BBB-,AT MATURITY,USD,IN,N
Essity AB,ESSITY,2021/2/8,0.25,843297000,2031/2/8,NR,CALLABLE,EUR,SE,N
Altria Group Inc,MO,2021/2/4,3.4,1500000000,2041/2/4,BBB,CALLABLE,USD,US,N
Banco Comercial Portugues SA,BCPPL,2021/2/12,1.125,606170000,2027/2/12,BB+,CALLABLE,EUR,PT,N
Carnival Corp,CCL,2020/11/25,7.625,1450000000,2026/3/1,B,CALLABLE,USD,PA,N
China Evergrande Group,EVERRE,2017/6/28,8.75,4680476000,2025/6/28,B,CALLABLE,USD,KY,N
Peloton Interactive Inc,PTON,2021/2/11,0,1000000000,2026/2/15,#N/A N/A,CONVERTIBLE,USD,US,N
TV Azteca SAB de CV,TZA,2017/8/9,8.25,400000000,2024/8/9,NR,CALLABLE,USD,MX,N
Chesapeake Energy Corp,CHK,2021/2/5,5.875,500000000,2029/2/1,B+,CALLABLE,USD,US,N
Levi Strauss & Co,LEVI,2021/2/19,3.5,500000000,2031/3/1,BB,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2021/2/12,0.855,800000000,2026/2/12,A-,CALLABLE,USD,US,N
HSBC Holdings PLC,HSBC,2020/12/17,4.6,1500000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,GB,N
Clear Channel Outdoor Holdings Inc,CCO,2021/2/17,7.75,1000000000,2028/4/15,CCC,CALLABLE,USD,US,N
Danske Bank A/S,DANBNK,2021/2/15,1,909817500,2031/5/15,BBB,CALLABLE,EUR,DK,N
Securitas AB,SECUSS,2021/2/22,0.25,424441500,2028/2/22,#N/A N/A,CALLABLE,EUR,SE,N
Intesa Sanpaolo SpA,ISPIM,2021/2/24,0.625,1212690000,2026/2/24,BBB-,AT MATURITY,EUR,IT,N
Altria Group Inc,MO,2021/2/4,3.7,1250000000,2051/2/4,BBB,CALLABLE,USD,US,N
UniCredit SpA,UCGIM,2020/2/19,3.875,1348987500,#N/A Field Not Applicable,B+,PERP/CALL,EUR,IT,N
Expedia Group Inc,EXPE,2021/3/3,2.95,1000000000,2031/3/15,BBB-,CALLABLE,USD,US,N
Boeing Co/The,BA,2021/2/4,1.167,1325000000,2023/2/4,BBB-,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2021/2/16,0.563,1000000000,2025/2/16,A,CALLABLE,USD,US,N
UltraTech Cement Ltd,UTCMIN,2021/2/16,2.8,400000000,2031/2/16,BBB-,CALLABLE,USD,IN,N
Standard Chartered PLC,STANLN,2021/1/14,4.75,1250000000,#N/A Field Not Applicable,BB,PERP/CALL,USD,GB,N
Atlantia SpA,ATLIM,2021/2/12,1.875,1212340000,2028/2/12,BB-,CALLABLE,EUR,IT,N
Petroleos del Peru SA,PETRPE,2017/6/19,5.625,1000000000,2047/6/19,BBB,AT MATURITY,USD,PE,N
Piraeus Financial Holdings SA,TPEIR,2020/2/19,5.5,539595000,2030/2/19,CCC-,CALLABLE,EUR,GR,N
Far East Horizon Ltd,FRESHK,2021/2/9,4.7,264169800,2024/2/9,NR,AT MATURITY,CNY,HK,N
Becton Dickinson and Co,BDX,2021/2/11,1.957,1000000000,2031/2/11,BBB-,CALLABLE,USD,US,N
SpareBank 1 SMN,MINGNO,2021/2/18,0.01,604095000,2028/2/18,NR,AT MATURITY,EUR,NO,Y
Alpek SAB de CV,ALPEKA,2021/2/25,3.25,600000000,2031/2/25,BB+,CALLABLE,USD,MX,N
Deutsche Lufthansa AG,LHAGR,2015/8/12,4.3904,558765000,2075/8/12,NR,CALLABLE,EUR,DE,N
YPF SA,YPFDAR,2021/2/12,4,775312599,2026/2/12,NR,CALL/SINK,USD,AR,N
Vallourec SA,VKFP,2018/4/19,6.375,493788000,2023/10/15,NR,CALLABLE,EUR,FR,N
Tencent Holdings Ltd,TENCNT,2020/6/3,2.39,2250000000,2030/6/3,A+,CALLABLE,USD,KY,N
Citrix Systems Inc,CTXS,2021/2/18,1.25,750000000,2026/3/1,BBB-,CALLABLE,USD,US,N
Ford Motor Co,F,2013/1/8,4.75,2000000000,2043/1/15,BB,AT MATURITY,USD,US,N
Crown Castle International Corp,CCI,2021/2/16,2.9,1250000000,2041/4/1,BBB-,CALLABLE,USD,US,N
Citigroup Inc,C,2020/12/10,4,1500000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Kennametal Inc,KMT,2021/2/23,2.8,300000000,2031/3/1,BBB-,CALLABLE,USD,US,N
BNP Paribas SA,BNP,2007/6/25,7.195,1100000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,FR,N
Newlat Food SpA,NEWFOD,2021/2/19,2.625,242538000,2027/2/19,#N/A N/A,CALLABLE,EUR,IT,N
Webuild SpA,IPGIM,2020/12/15,5.875,912075000,2025/12/15,BB-,CALLABLE,EUR,IT,N
Deutsche Bank AG,DB,2014/5/27,6,2382800000,#N/A Field Not Applicable,B+,PERP/CALL,EUR,DE,N
Cellnex Telecom SA,CLNXSM,2020/10/23,1.75,1184340000,2030/10/23,BB+,CALLABLE,EUR,ES,N
Mizuho Financial Group Inc,MIZUHO,2021/2/22,1.234,1400000000,2027/5/22,A,CALLABLE,USD,JP,N
Carnival Corp,CCL,2020/4/8,11.5,4000000000,2023/4/1,BB-,CALLABLE,USD,PA,N
Vossloh AG,VOSGR,2021/2/23,4,181903500,#N/A Field Not Applicable,#N/A N/A,PERP/CALL,EUR,DE,N
Kaisa Group Holdings Ltd,KAISAG,2017/6/30,9.375,3119000000,2024/6/30,NR,CALLABLE,USD,KY,N
Unifin Financiera SAB de CV,UNIFIN,2021/1/28,9.875,400000000,2029/1/28,BB-,CALLABLE,USD,MX,N
Italgas SpA,IGIM,2021/2/16,0,605445000,2028/2/16,NR,AT MATURITY,EUR,IT,N
Kinder Morgan Inc,KMI,2021/2/11,3.6,750000000,2051/2/15,BBB,CALLABLE,USD,US,N
Alexandria Real Estate Equities Inc,ARE,2021/2/18,2,900000000,2032/5/18,BBB+,CALLABLE,USD,US,Y
JPMorgan Chase & Co,JPM,2021/2/4,1.04,2000000000,2027/2/4,A,CALLABLE,USD,US,N
TOTAL SE,TOTAL,2021/1/25,2.125,1821690000,#N/A Field Not Applicable,A-,PERP/CALL,EUR,FR,N
Electronic Arts Inc,EA,2021/2/11,1.85,750000000,2031/2/15,BBB+,CALLABLE,USD,US,N
Telecom Italia SpA/Milano,TITIM,2021/1/18,1.625,1207480000,2029/1/18,BB,CALLABLE,EUR,IT,N
Credito Real SAB de CV SOFOM ER,CREAL,2021/1/21,8,500000000,2028/1/21,BB,CALLABLE,USD,MX,N
Tullow Oil PLC,TLWLN,2018/3/23,7,800000000,2025/3/1,CCC,CALLABLE,USD,GB,N
Just Eat Takeaway.com NV,TKWYNA,2021/2/9,0.625,605270000,2028/2/9,#N/A N/A,CONVERTIBLE,EUR,NL,N
Ozon Holdings PLC,OZON,2021/2/24,1.875,750000000,2026/2/24,#N/A N/A,CONVERTIBLE,USD,CY,N
Mizuho Financial Group Inc,MIZUHO,2021/2/22,2.172,600000000,2032/5/22,A,CALLABLE,USD,JP,N
Italgas SpA,IGIM,2021/2/16,0.5,605445000,2033/2/16,NR,AT MATURITY,EUR,IT,N
Intesa Sanpaolo SpA,ISPIM,2021/2/24,1.35,909517500,2031/2/24,BBB-,AT MATURITY,EUR,IT,N
UBS Group AG,UBS,2021/2/24,0.25,1212690000,2028/2/24,A,AT MATURITY,EUR,CH,N
Fantasia Holdings Group Co Ltd,FTHDGR,2020/6/1,11.875,450000000,2023/6/1,NR,CALLABLE,USD,KY,N
Ford Motor Co,F,2016/12/8,5.291,1300000000,2046/12/8,BB,CALLABLE,USD,US,N
JPMorgan Chase & Co,JPM,2008/4/23,3.6815,6000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Cellnex Telecom SA,CLNXSM,2020/11/20,0.75,1778145000,2031/11/20,NR,CONVERTIBLE,EUR,ES,N
Apple Inc,AAPL,2020/8/20,2.4,1250000000,2050/8/20,AA+,CALLABLE,USD,US,N
Societe Generale SA,SOCGEN,2021/2/18,0.125,1208190000,2028/2/18,A,AT MATURITY,EUR,FR,N
MicroStrategy Inc,MSTR,2020/12/11,0.75,650000000,2025/12/15,#N/A N/A,CONVERTIBLE,USD,US,N
Diversified Healthcare Trust,DHC,2021/2/8,4.375,500000000,2031/3/1,BB-,CALLABLE,USD,US,N
EFG International AG,EFGBNK,2021/1/25,5.5,400000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,CH,N
China Evergrande Group,EVERRE,2017/3/23,8.25,2025000000,2022/3/23,B,CALLABLE,USD,KY,N
Prospect Capital Corp,PSEC,2021/1/22,3.706,400000000,2026/1/22,BBB-,CALLABLE,USD,US,N
Just Eat Takeaway.com NV,TKWYNA,2021/2/9,0,726324000,2025/8/9,#N/A N/A,CONVERTIBLE,EUR,NL,N
K+S AG,SDFGR,2018/7/18,3.25,699168000,2024/7/18,NR,CALLABLE,EUR,DE,N
Pierre Et Vacances SA,VACFP,2017/12/6,2,117929994,2023/4/1,#N/A N/A,CONVERTIBLE,EUR,FR,N
Orsted AS,ORSTED,2013/6/26,6.25,910504000,3013/6/26,BB+,CALLABLE,EUR,DK,N
EnQuest PLC,ENQLN,2016/11/21,7,799194107.4,2023/10/15,NR,CALL/EXT,USD,GB,N
DuPont de Nemours Inc,DD,2020/5/1,2.169,2000000000,2023/5/1,BBB+,AT MATURITY,USD,US,N
YPF SA,YPFDAR,2017/7/21,6.95,1000000000,2027/7/21,CCC-,AT MATURITY,USD,AR,N
Danaos Corp,DAC,2021/2/11,8.5,300000000,2028/3/1,NR,CALLABLE,USD,MH,N
Expedia Group Inc,EXPE,2021/2/19,0,1000000000,2026/2/15,BBB-,CONVERTIBLE,USD,US,N
National Fuel Gas Co,NFG,2021/2/24,2.95,500000000,2031/3/1,BBB-,CALLABLE,USD,US,N
Snam SpA,SRGIM,2021/2/15,0,606545000,2025/8/15,BBB,CALLABLE,EUR,IT,N
Electronic Arts Inc,EA,2021/2/11,2.95,750000000,2051/2/15,BBB+,CALLABLE,USD,US,N
AT&T Inc,T,2020/8/4,3.3,2250000000,2052/2/1,BBB,CALLABLE,USD,US,N
Deutsche Lufthansa AG,LHAGR,2019/9/6,0.25,551770000,2024/9/6,BB-,AT MATURITY,EUR,DE,N
Zhenro Properties Group Ltd,ZHPRHK,2021/2/4,6.7,300000000,2026/8/4,B,CALLABLE,USD,KY,Y
Cemex SAB de CV,CEMEX,2021/1/12,3.875,1750000000,2031/7/11,BB-,CALLABLE,USD,MX,N
Petroleos del Peru SA,PETRPE,2021/2/11,5.625,1000000000,2047/6/19,BBB,AT MATURITY,USD,PE,N
Expedia Group Inc,EXPE,2020/5/5,6.25,2000000000,2025/5/1,BBB-,CALLABLE,USD,US,N
Nordstrom Inc,JWN,2014/6/6,5,965562000,2044/1/15,BB+,CALLABLE,USD,US,N
First Abu Dhabi Bank PJSC,FABUH,2021/2/16,0.125,908167500,2026/2/16,AA-,AT MATURITY,EUR,AE,N
Biogen Inc,BIIB,2015/9/15,5.2,1750000000,2045/9/15,BBB+,CALLABLE,USD,US,N
Tesla Inc,TSLA,2017/8/18,5.3,1800000000,2025/8/15,B+,CALLABLE,USD,US,N
Sunac China Holdings Ltd,SUNAC,2021/1/26,5.95,600000000,2024/4/26,B+,CALLABLE,USD,KY,N
SVB Financial Group,SIVB,2021/2/2,4.1,750000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Europcar Mobility Group,EUROCA,2017/11/2,4.125,699378000,2024/11/15,DDD,CALLABLE,EUR,FR,N
Times China Holdings Ltd,TPHL,2018/6/4,7.85,450000000,2021/6/4,B+,CALLABLE,USD,KY,N
First Abu Dhabi Bank PJSC,FABUH,2021/2/9,0.875,551916000,2025/12/9,AA-,AT MATURITY,GBP,AE,N
UBS Group AG,UBS,2021/2/24,0.625,1515862500,2033/2/24,A,AT MATURITY,EUR,CH,N
Country Garden Holdings Co Ltd,COGARD,2021/1/12,3.3,700000000,2031/1/12,BBB-,CALLABLE,USD,KY,N
Banca Monte dei Paschi di Siena SpA,MONTE,2018/1/18,5.375,917137500,2028/1/18,CCC+,CALLABLE,EUR,IT,N
China Evergrande Group,EVERRE,2019/5/24,8.9,1050000000,2021/5/24,#N/A N/A,AT MATURITY,USD,KY,N
NRG Energy Inc,NRG,2020/12/2,3.625,1030000000,2031/2/15,BB,CALLABLE,USD,US,N
Expedia Group Inc,EXPE,2020/3/23,3.25,1249580000,2030/2/15,BBB-,CALLABLE,USD,US,N
Altria Group Inc,MO,2019/2/14,4.8,3000000000,2029/2/14,BBB,CALLABLE,USD,US,N
Sage Group PLC/The,SGELN,2021/2/25,1.625,490819000,2031/2/25,#N/A N/A,CALLABLE,GBP,GB,N
Comstock Resources Inc,CRK,2021/3/4,6.75,1000000000,2029/3/1,B-,CALLABLE,USD,US,N
Wells Fargo & Co,WFC,2017/1/24,3.069,3750000000,2023/1/24,A,CALLABLE,USD,US,N
China SCE Group Holdings Ltd,CHINSC,2021/2/4,6,350000000,2026/2/4,NR,CALLABLE,USD,KY,N
Sunac China Holdings Ltd,SUNAC,2021/1/26,6.5,500000000,2026/1/26,B+,CALLABLE,USD,KY,N
YPF SA,YPFDAR,2017/12/15,7,750000000,2047/12/15,CCC-,CALLABLE,USD,AR,N
ams AG,AMSSW,2020/7/6,6,961069500,2025/7/31,BB-,CALLABLE,EUR,AT,N
Ford Motor Co,F,2020/4/22,9,3500000000,2025/4/22,BB,CALLABLE,USD,US,N
American Airlines Group Inc,AAL,2019/5/20,5,750000000,2022/6/1,CCC,AT MATURITY,USD,US,N
Bombardier Inc,BBDBCN,2015/3/13,7.5,1500000000,2025/3/15,CCC-,CALLABLE,USD,CA,N
Aker Horizons AS,AKEHRZ,2021/2/15,3.7,297932500,2025/8/15,#N/A N/A,CALLABLE,NOK,NO,Y
Times China Holdings Ltd,TPHL,2019/7/16,6.75,500000000,2023/7/16,B+,CALLABLE,USD,KY,N
Tilray Inc,TLRY,2018/10/10,5,475000000,2023/10/1,#N/A N/A,CONVERTIBLE,USD,US,N
Kohl's Corp,KSS,2015/7/17,5.55,450000000,2045/7/17,BBB-,CALLABLE,USD,US,N
Crown Castle International Corp,CCI,2021/2/16,2.1,1000000000,2031/4/1,BBB-,CALLABLE,USD,US,N
TechnipFMC PLC,FTI,2021/1/29,6.5,1000000000,2026/2/1,BB+,CALLABLE,USD,GB,N
K+S AG,SDFGR,2017/4/6,2.625,665618750,2023/4/6,NR,CALLABLE,EUR,DE,N
Alexandria Real Estate Equities Inc,ARE,2021/2/18,3,850000000,2051/5/18,BBB+,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2017/11/1,5,1500000000,#N/A Field Not Applicable,BB+,PERP/CALL,USD,US,N
Charles Schwab Corp/The,SCHW,2020/12/11,4,2500000000,#N/A Field Not Applicable,BBB-,PERP/CALL,USD,US,N
Centene Corp,CNC,2020/10/7,3,2200000000,2030/10/15,BB+,CALLABLE,USD,US,N
Goldman Sachs Group Inc/The,GS,2021/1/26,0.25,2127545000,2028/1/26,A-,CALLABLE,EUR,US,N
Vallourec SA,VKFP,2017/10/4,4.125,294077498,2022/10/4,#N/A N/A,CONVERTIBLE,EUR,FR,N
AT&T Inc,T,2020/8/4,3.5,1500000000,2061/2/1,BBB,CALLABLE,USD,US,N
Yuzhou Group Holdings Co Ltd,YUZHOU,2021/1/13,6.35,562000000,2027/1/13,B+,CALLABLE,USD,KY,Y
Intesa Sanpaolo SpA,ISPIM,2020/2/27,3.75,823477500,#N/A Field Not Applicable,B+,PERP/CALL,EUR,IT,N
UBS Group AG,UBS,2021/2/11,2.095,2000000000,2032/2/11,A,CALLABLE,USD,CH,N
Alpek SAB de CV,ALPEKA,2019/9/18,4.25,500000000,2029/9/18,BB+,CALLABLE,USD,MX,N
GATX Corp,GMT,2021/2/3,1.9,400000000,2031/6/1,BBB,CALLABLE,USD,US,N
Crown Castle International Corp,CCI,2021/2/16,1.05,1000000000,2026/7/15,BBB-,CALLABLE,USD,US,N
Full House Resorts Inc,FLL,2021/2/12,8.25,310000000,2028/2/15,CCC+,CALLABLE,USD,US,N
Australia & New Zealand Banking Group Ltd,ANZ,2021/2/5,0.669,902842500,2031/5/5,BBB+,CALLABLE,EUR,AU,N
Cleveland-Cliffs Inc,CLF,2021/2/17,4.875,500000000,2031/3/1,B-,CALLABLE,USD,US,N
Stellantis NV,STLA,2020/7/7,4.5,1129030000,2028/7/7,BBB-,CALLABLE,EUR,NL,N
Bristow Group Inc,VTOL,2021/2/25,6.875,400000000,2028/3/1,B+,CALLABLE,USD,US,N
Cleveland-Cliffs Inc,CLF,2021/2/17,4.625,500000000,2029/3/1,B-,CALLABLE,USD,US,N
ING Groep NV,INTNED,2021/2/24,1.125,1121872000,2028/12/7,BBB+,CALLABLE,GBP,NL,Y
Adani Ports & Special Economic Zone Ltd,ADSEZ,2021/2/2,3.1,500000000,2031/2/2,BBB-,AT MATURITY,USD,IN,N
CVS Health Corp,CVS,2018/3/9,5.05,8000000000,2048/3/25,BBB,CALLABLE,USD,US,N
Deutsche Bank AG,DB,2014/5/27,4.789,1250000000,#N/A Field Not Applicable,B+,PERP/CALL,USD,DE,N
Ecopetrol SA,ECOPET,2020/4/29,6.875,2000000000,2030/4/29,BBB-,CALLABLE,USD,CO,N
Sri Rejeki Isman Tbk PT,SRILIJ,2019/10/16,7.25,225000000,2025/1/16,B+,CALLABLE,USD,ID,N
Centene Corp,CNC,2016/11/9,4.75,1200000000,2025/1/15,BB+,CALLABLE,USD,US,N
Turning Point Brands Inc,TPB,2021/2/11,5.625,250000000,2026/2/15,BB-,CALLABLE,USD,US,N
GEO Group Inc/The,GEO,2014/2/4,5.875,250000000,2022/1/15,B+,CALLABLE,USD,US,N
AMC Entertainment Holdings Inc,AMC,2020/4/24,10.5,500000000,2025/4/15,CCC,CALLABLE,USD,US,N
Bombardier Inc,BBDBCN,2019/3/7,7.875,2000000000,2027/4/15,CCC-,CALLABLE,USD,CA,N
BNP Paribas SA,BNP,2021/2/25,4.625,1250000000,#N/A Field Not Applicable,NR,PERP/CALL,USD,FR,N
Integra LifeSciences Holdings Corp,IART,2020/2/7,0.5,575000000,2025/8/15,#N/A N/A,CONVERTIBLE,USD,US,N
GEO Group Inc/The,GEO,2016/4/18,6,350000000,2026/4/15,B+,CALLABLE,USD,US,N
Air France-KLM,AFFP,2020/1/16,1.875,835102500,2025/1/16,#N/A N/A,CALLABLE,EUR,FR,N
Levi Strauss & Co,LEVI,2015/7/15,5,999912000,2025/5/1,BB,CALLABLE,USD,US,N
MicroStrategy Inc,MSTR,2021/2/19,0,900000000,2027/2/15,#N/A N/A,CONVERTIBLE,USD,US,N
EDP - Energias de Portugal SA,EDPPL,2021/2/2,1.875,901417500,2081/8/2,BB,CALLABLE,EUR,PT,Y
AT&T Inc,T,2020/2/18,2.875,2160840000,#N/A Field Not Applicable,BB+,PERP/CALL,EUR,US,N
Taseko Mines Ltd,TKOCN,2021/2/10,7,400000000,2026/2/15,CCC+,CALLABLE,USD,CA,N
JPMorgan Chase & Co,JPM,2014/6/9,3.5575,2500000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Nexi SpA,NEXIIM,2021/2/24,0,1212690000,2028/2/24,#N/A N/A,CONVERTIBLE,EUR,IT,N
TOTAL SE,TOTAL,2021/1/25,1.625,1821690000,#N/A Field Not Applicable,A-,PERP/CALL,EUR,FR,N
PennyMac Financial Services Inc,PFSI,2021/2/11,4.25,650000000,2029/2/15,B+,CALLABLE,USD,US,N
Unifin Financiera SAB de CV,UNIFIN,2017/5/15,7,450000000,2025/1/15,BB-,CALLABLE,USD,MX,N
GATX Corp,GMT,2021/2/3,3.1,300000000,2051/6/1,BBB,CALLABLE,USD,US,N
Boeing Co/The,BA,2020/5/4,5.805,5500000000,2050/5/1,BBB-,CALLABLE,USD,US,N
Microsoft Corp,MSFT,2020/6/1,2.525,6249997000,2050/6/1,AAA,CALLABLE,USD,US,N
Deutsche Bank AG,DB,2020/2/14,6,1250000000,#N/A Field Not Applicable,B+,PERP/CALL,USD,DE,N
Deutsche Bank AG,DB,2014/11/21,7.5,1500000000,#N/A Field Not Applicable,B+,PERP/CALL,USD,DE,N
Verizon Communications Inc,VZ,2020/11/20,2.875,2750000000,2050/11/20,BBB+,CALLABLE,USD,US,N
Aegon NV,AEGON,2004/7/15,0,1173440000,#N/A Field Not Applicable,BBB,PERP/CALL,EUR,NL,N
Haidilao International Holding Ltd,HAIDIL,2021/1/14,2.15,600000000,2026/1/14,BBB,AT MATURITY,USD,KY,N
thyssenkrupp AG,TKAGR,2019/2/22,2.875,1701825000,2024/2/22,B+,CALLABLE,EUR,DE,N
Ford Motor Co,F,1999/7/16,7.45,4800000000,2031/7/16,BB,AT MATURITY,USD,US,N
JPMorgan Chase & Co,JPM,2020/1/23,4.6,3000000000,#N/A Field Not Applicable,BBB,PERP/CALL,USD,US,N
Central China Real Estate Ltd,CENCHI,2021/1/14,7.5,260000000,2025/7/14,NR,CALLABLE,USD,KY,Y
Cleveland-Cliffs Inc,CLF,2020/4/17,9.875,955159000,2025/10/17,B+,CALLABLE,USD,US,N
